sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
DQ795170.1.1393	1	0.109646	GCF_001404655.1
DQ795171.1.1388	1	0.065943	GCA_025148125.1
DQ795181.1.1409	5	0.134212	GCF_012317185.1
DQ795184.1.1320	1	0.081526	GCF_018784445.1
DQ795189.1.1389	1	0.122394	GCF_009696065.1
DQ795210.1.1389	5	0.153409	GCF_002735305.1
DQ795243.1.1401	1	0.062002	GCF_018784445.1
DQ795249.1.1351	1	0.11945	GCA_902363875.1
DQ795255.1.1218	1	0.073228	GCF_003481705.1
DQ795258.1.1261	1	0.209461	GCF_003475325.1
DQ795262.1.1307	5	0.106172	GCA_000020605.1
DQ795265.1.1368	1	0.107032	GCA_900542275.1
DQ795266.1.1352	1	0.114832	GCF_014333425.1
DQ795289.1.1389	1	0.129559	GCF_014287635.1
DQ795290.1.1393	1	0.127551	GCF_002161065.1
DQ795296.1.1393	5	0.089696	GCA_000020605.1
DQ795306.1.1391	1	0.064089	GCA_025148125.1
DQ795308.1.1216	5	0.048844	GCA_000020605.1
DQ795319.1.1366	1	0.109646	GCF_001404655.1
DQ795337.1.1391	1	0.191494	GCF_015557635.1
DQ795338.1.1322	1	0.065266	GCA_000285855.2
DQ795356.1.1397	1	0.069832	GCF_000949455.1
DQ795372.1.1391	5	0.105077	GCA_000020605.1
DQ795377.1.1399	1	0.170794	GCA_900768435.1
DQ795397.1.1400	1	0.09722	GCF_003481705.1
DQ795398.1.1392	1	0.163435	GCA_900768435.1
DQ795406.1.1200	1	0.070357	GCA_025148125.1
DQ795411.1.1205	1	0.136682	GCA_000403475.2
DQ795426.1.1392	5	0.096804	GCA_000020605.1
DQ795428.1.1389	1	0.042427	GCF_000173975.1
DQ795440.1.1388	1	0.134616	GCF_021531975.1
DQ795441.1.1372	3	0.121634	GCA_004557655.1
DQ795468.1.1391	1	0.138127	GCA_902362865.1
DQ795469.1.1392	5	0.106172	GCA_000020605.1
DQ795471.1.1390	1	0.090926	GCF_900104635.1
DQ795473.1.1393	1	0.109646	GCF_001404655.1
DQ795485.1.1378	1	0.150125	GCF_018784445.1
DQ795492.1.1391	1	0.112147	GCA_902381685.1
DQ795496.1.1396	5	0.106172	GCA_000020605.1
DQ795507.1.1430	1	0.031413	GCF_000160055.1
DQ795542.1.1390	1	0.089923	GCF_021531975.1
DQ795551.1.1388	1	0.116167	GCA_016899975.1
DQ795636.1.1368	1	0.043558	GCF_015670795.1
DQ795704.1.1394	1	0.098864	GCF_000797495.1
DQ795708.1.1387	6	0.109042	GCA_025150085.1
DQ795709.1.1397	1	0.107699	GCF_009696065.1
DQ795713.1.1384	2	0.112675	GCA_018223435.1
DQ795719.1.1392	1	0.107257	GCF_015557635.1
DQ795727.1.1297	1	0.147056	GCA_900751685.1
DQ795732.1.1392	4	0.134306	GCA_023409535.1
DQ795742.1.1390	1	0.108353	GCF_000173975.1
DQ795747.1.1390	1	0.123907	GCA_014385105.1
DQ795748.1.1278	6	0.153821	GCF_023347255.1
DQ795750.1.1393	1	0.115467	GCA_000020605.1
DQ795751.1.1277	1	0.208426	GCF_900625105.1
DQ795752.1.1402	6	0.032276	GCF_015074785.1
DQ795753.1.1391	1	0.046025	GCF_009696065.1
DQ795757.1.1286	3	0.147034	GCF_001404675.1
DQ795767.1.1389	1	0.152629	GCA_003669055.1
DQ795800.1.1406	1	0.061176	GCF_900128485.1
DQ795801.1.1281	1	0.074882	GCF_021531995.1
DQ795802.1.1371	1	0.086825	GCF_002160895.1
DQ795808.1.1388	1	0.095013	GCF_000173975.1
DQ795814.1.1408	6	0.051331	GCF_015074785.1
DQ795818.1.1392	1	0.11277	GCF_000765235.1
DQ795823.1.1379	1	0.089953	GCA_003584705.1
DQ795825.1.1305	1	0.280353	GCF_024460475.1
DQ795827.1.1399	1	0.050978	GCF_900128485.1
DQ795828.1.1280	1	0.264492	GCA_023458035.1
DQ795829.1.1407	1	0.171728	GCF_021531255.1
DQ795831.1.1385	1	0.159629	GCF_014982855.1
DQ795834.1.1287	1	0.107743	GCA_025149785.1
DQ795837.1.1387	1	0.062252	GCA_021029595.1
DQ795848.1.1374	1	0.111693	GCF_014287815.1
DQ795851.1.1404	1	0.114074	GCA_016284885.1
DQ795865.1.1286	1	0.108742	GCA_003478355.1
DQ795866.1.1290	1	0.257745	GCF_016586355.1
DQ795868.1.1286	1	0.05273	GCF_021531255.1
DQ795872.1.1295	1	0.135276	GCA_022835495.1
DQ795875.1.1361	2	0.072947	GCF_000012845.1
DQ795877.1.1388	3	0.038189	GCA_018228685.1
DQ795880.1.1398	1	0.063377	GCF_009494395.1
DQ795885.1.1368	1	0.144014	GCA_023459495.1
DQ795886.1.1392	1	0.120862	GCA_025152405.1
DQ795900.1.1374	1	0.223876	GCF_016901775.1
DQ795913.1.1389	1	0.107257	GCF_015557635.1
DQ795914.1.1380	1	0.164044	GCF_003461245.1
DQ795926.1.1310	3	0.113954	GCF_018326305.1
DQ795958.1.1382	1	0.119996	GCA_910575585.1
DQ795960.1.1292	1	0.066542	GCF_000146185.1
DQ795962.1.1375	1	0.169217	GCA_000154345.1
DQ795965.1.1350	1	0.106718	GCF_014297285.1
DQ795969.1.1286	1	0.330023	GCF_014384765.1
DQ795979.1.1354	1	0.02679	GCF_024460475.1
DQ795981.1.1383	1	0.096132	GCF_000765235.1
DQ795985.1.1406	2	0.108316	GCF_009469595.2
DQ795988.1.1379	1	0.1079	GCA_014610835.1
DQ795994.1.1370	6	0.032714	GCF_023347535.1
DQ796004.1.1378	1	0.113063	GCF_003460605.1
DQ796009.1.1394	1	0.178457	GCA_020687485.1
DQ796010.1.1375	1	0.084485	GCA_002841545.1
DQ796014.1.1385	1	0.063496	GCF_015557635.1
DQ796020.1.1304	1	0.141912	GCA_905188025.1
DQ796041.1.1287	1	0.128553	GCF_018408705.1
DQ796048.1.1406	2	0.108316	GCF_009469595.2
DQ796066.1.1403	6	0.106801	GCA_025151535.1
DQ796067.1.1372	3	0.222492	GCA_900199405.1
DQ796076.1.1393	6	0.109042	GCA_025150085.1
DQ796080.1.1375	1	0.090949	GCF_014287815.1
DQ796083.1.1275	1	0.079399	GCF_021531895.1
DQ796088.1.1390	3	0.15346	GCA_900199405.1
DQ796099.1.1388	1	0.11516	GCA_020859985.1
DQ796102.1.1389	1	0.113063	GCF_003460605.1
DQ796105.1.1389	1	0.144583	GCF_009695995.1
DQ796108.1.1392	1	0.174761	GCA_025148445.1
DQ796115.1.1363	14	0.024512	GCF_900106845.1
DQ796116.1.1201	1	0.037238	GCA_900768435.1
DQ796118.1.1378	3	0.177644	GCA_018228685.1
DQ796126.1.1392	1	0.084616	GCF_000173975.1
DQ796131.1.1402	6	0.039166	GCF_015074785.1
DQ796132.1.1379	2	0.145849	GCF_002549775.1
DQ796136.1.1225	1	0.061423	GCF_001487165.1
DQ796139.1.1410	1	0.107171	GCF_000188175.1
DQ796143.1.1285	6	0.018214	GCF_024168045.1
DQ796144.1.1395	1	0.11403	GCA_002438635.1
DQ796155.1.1377	1	0.106676	GCA_900066355.1
DQ796158.1.1407	2	0.108316	GCF_009469595.2
DQ796165.1.1294	1	0.072092	GCF_900104415.1
DQ796170.1.1245	5	0.150599	GCF_001940165.1
DQ796180.1.1361	1	0.107032	GCA_900542275.1
DQ796193.1.1249	1	0.043662	GCF_900209925.1
DQ796195.1.1288	1	0.180276	GCF_000236865.1
DQ796196.1.1291	1	0.034806	GCA_916988195.3
DQ796210.1.1355	1	0.109646	GCF_001404655.1
DQ796214.1.1393	1	0.118072	GCA_900112995.1
DQ796216.1.1275	3	0.149106	GCA_018228685.1
DQ796218.1.1391	1	0.055672	GCF_000173975.1
DQ796230.1.1292	1	0.042619	GCF_014287635.1
DQ796237.1.1385	1	0.116167	GCA_016899975.1
DQ796245.1.1395	1	0.108353	GCF_000173975.1
DQ796265.1.1400	1	0.106718	GCF_014297285.1
DQ796276.1.1229	1	0.12043	GCF_900116855.1
DQ796277.1.1279	2	0.109064	GCF_002549775.1
DQ796279.1.1288	1	0.115645	GCA_910583925.1
DQ796280.1.1284	1	0.28509	GCF_001404655.1
DQ796291.1.1390	1	0.042255	GCF_020537505.1
DQ796294.1.1290	1	0.136863	GCF_013300725.1
DQ796304.1.1393	1	0.113063	GCF_003460605.1
DQ796305.1.1285	1	0.180811	GCF_020748465.1
DQ796325.1.1400	1	0.180079	GCF_014384705.1
DQ796327.1.1412	1	0.112161	GCF_010120595.1
DQ796328.1.1388	1	0.109646	GCF_001404655.1
DQ796332.1.1408	1	0.147878	GCF_024460475.1
DQ796344.1.1287	1	0.057511	GCF_001404655.1
DQ796347.1.1286	14	0.143738	GCF_900015215.1
DQ796350.1.1279	1	0.189358	GCF_003287455.1
DQ796351.1.1391	6	0.039983	GCA_025150085.1
DQ796360.1.1391	6	0.04845	GCF_024168045.1
DQ796366.1.1387	1	0.111034	GCF_013304735.1
DQ796367.1.1382	2	0.012582	GCF_002549775.1
DQ796368.1.1387	1	0.15313	GCF_900086725.1
DQ796375.1.1280	1	0.10397	GCF_024462815.1
DQ796383.1.1391	5	0.092713	GCF_020215665.1
DQ796398.1.1293	1	0.1079	GCA_014610835.1
DQ796403.1.1387	1	0.077447	GCF_018784445.1
DQ796413.1.1393	1	0.107721	GCF_018918025.1
DQ796415.1.1391	1	0.091426	GCF_003574295.1
DQ796418.1.1395	1	0.040456	GCF_009696065.1
DQ796429.1.1384	1	0.132889	GCF_018982945.1
DQ796441.1.1395	3	0.112445	GCA_900199405.1
DQ796445.1.1306	1	0.111602	GCF_009494395.1
DQ796450.1.1390	1	0.161119	GCF_002160895.1
DQ796462.1.1391	1	0.0576	GCF_008121495.1
DQ796466.1.1370	1	0.107032	GCA_900542275.1
DQ796483.1.1312	3	0.04563	GCA_900604495.1
DQ796491.1.1401	1	0.072092	GCF_009696075.1
DQ796506.1.1397	1	0.107257	GCF_015557635.1
DQ796523.1.1393	1	0.113	GCA_025150245.1
DQ796549.1.1384	1	0.204213	GCA_900104565.1
DQ796555.1.1388	1	0.045575	GCF_015557635.1
DQ796556.1.1382	1	0.181552	GCA_025148445.1
DQ796571.1.1384	1	0.037849	GCF_023347295.1
DQ796574.1.1375	5	0.106172	GCA_000020605.1
DQ796579.1.1405	1	0.135137	GCA_002841545.1
DQ796582.1.1376	1	0.037398	GCF_013304735.1
DQ796583.1.1381	1	0.11001	GCF_019734885.1
DQ796584.1.1369	1	0.047408	GCF_000577815.1
DQ796585.1.1392	1	0.177649	GCF_003363435.1
DQ796597.1.1432	1	0.035904	GCF_000242435.1
DQ796609.1.1391	1	0.117054	GCF_002160895.1
DQ796613.1.1393	1	0.099046	GCA_900315985.1
DQ796618.1.1392	1	0.170912	GCA_900115795.1
DQ796620.1.1389	1	0.10953	GCA_025148445.1
DQ796634.1.1384	1	0.170912	GCA_900115795.1
DQ796637.1.1393	2	0.029709	GCF_002549775.1
DQ796646.1.1401	1	0.037322	GCF_000765235.1
DQ796651.1.1380	1	0.142882	GCF_018784445.1
DQ796655.1.1398	1	0.064318	GCA_022009815.1
DQ796688.1.1388	5	0.106172	GCA_000020605.1
DQ796693.1.1391	1	0.109999	GCF_000469345.1
DQ796702.1.1383	4	0.112868	GCF_009696005.1
DQ796712.1.1386	6	0.109042	GCA_025150085.1
DQ796714.1.1382	6	0.109042	GCA_025150085.1
DQ796718.1.1314	1	0.107171	GCF_000188175.1
DQ796724.1.1374	1	0.091735	GCF_009695995.1
DQ796734.1.1374	1	0.155637	GCF_003287405.1
DQ796739.1.1384	1	0.035525	GCF_900103425.1
DQ796768.1.1405	1	0.067466	GCA_910583925.1
DQ796788.1.1389	1	0.043811	GCF_014297355.1
DQ796797.1.1388	1	0.130139	GCA_902363665.1
DQ796815.1.1385	1	0.121301	GCA_934622035.1
DQ796842.1.1380	1	0.16017	GCF_018917965.1
DQ796846.1.1378	1	0.110561	GCF_000173975.1
DQ796850.1.1389	4	0.112868	GCF_009696005.1
DQ796852.1.1382	1	0.11516	GCA_020859985.1
DQ796859.1.1389	1	0.156783	GCF_003966955.1
DQ796860.1.1390	1	0.125486	GCF_015557635.1
DQ796862.1.1379	1	0.107882	GCF_000468015.1
DQ796878.1.1380	1	0.107257	GCF_015557635.1
DQ796883.1.1389	1	0.141955	GCF_018784445.1
DQ796891.1.1369	1	0.02411	GCF_000236865.1
DQ796893.1.1395	1	0.094809	GCF_900086725.1
DQ796896.1.1401	1	0.11516	GCA_020859985.1
DQ796897.1.1374	1	0.058372	GCF_019967995.1
DQ796901.1.1304	1	0.107257	GCF_015557635.1
DQ796904.1.1363	1	0.113508	GCF_010509575.1
DQ796907.1.1403	1	0.154056	GCA_025148445.1
DQ796912.1.1380	1	0.168677	GCF_000236865.1
DQ796914.1.1402	1	0.171728	GCF_021531255.1
DQ796919.1.1379	1	0.107257	GCF_015557635.1
DQ796936.1.1402	6	0.022048	GCF_015074785.1
DQ796942.1.1391	1	0.242238	GCA_900751685.1
DQ796952.1.1402	6	0.030898	GCF_015074785.1
DQ796959.1.1274	1	0.156913	GCF_900106785.1
DQ796978.1.1400	1	0.106338	GCF_004535825.1
DQ796984.1.1390	1	0.106696	GCF_003461245.1
DQ796985.1.1394	1	0.142659	GCF_014982855.1
DQ796987.1.1386	1	0.03548	GCF_003287495.1
DQ796999.1.1387	1	0.035728	GCF_003287455.1
DQ797005.1.1404	1	0.10641	GCA_025147485.1
DQ797006.1.1404	1	0.136602	GCA_900315985.1
DQ797017.1.1392	1	0.080821	GCF_000765235.1
DQ797022.1.1391	1	0.115467	GCA_000020605.1
DQ797024.1.1383	1	0.11516	GCA_020859985.1
DQ797047.1.1397	6	0.114729	GCF_015074785.1
DQ797049.1.1357	1	0.262805	GCA_910577745.1
DQ797052.1.1382	1	0.122777	GCF_020564355.1
DQ797057.1.1381	6	0.050616	GCF_023347535.1
DQ797066.1.1308	1	0.051339	GCA_934153945.1
DQ797074.1.1402	1	0.023512	GCF_004535825.1
DQ797079.1.1385	1	0.06169	GCF_003024675.1
DQ797080.1.1398	6	0.087776	GCF_015074785.1
DQ797091.1.1361	1	0.28349	GCA_910577745.1
DQ797093.1.1384	1	0.174557	GCA_902363875.1
DQ797095.1.1391	1	0.119509	GCF_900148495.1
DQ797109.1.1398	1	0.057352	GCF_900290275.1
DQ797114.1.1382	1	0.116919	GCF_018784445.1
DQ797125.1.1379	2	0.024889	GCF_023347255.1
DQ797137.1.1405	5	0.111284	GCF_002222615.2
DQ797146.1.1386	1	0.11516	GCA_020859985.1
DQ797148.1.1374	1	0.059893	GCF_001406815.1
DQ797151.1.1393	1	0.136456	GCA_025148445.1
DQ797160.1.1374	1	0.031465	GCF_003287455.1
DQ797170.1.1392	1	0.107743	GCA_025149785.1
DQ797172.1.1391	5	0.106172	GCA_000020605.1
DQ797175.1.1392	1	0.08729	GCF_003149245.1
DQ797180.1.1402	1	0.03047	GCF_004535825.1
DQ797192.1.1383	1	0.141854	GCF_016901815.1
DQ797199.1.1390	1	0.078185	GCA_018223385.1
DQ797201.1.1388	1	0.107373	GCF_013304735.1
DQ797216.1.1387	1	0.023767	GCF_003287455.1
DQ797221.1.1330	1	0.057906	GCF_014287435.1
DQ797233.1.1381	1	0.028253	GCF_003287455.1
DQ797241.1.1389	1	0.108742	GCA_003478355.1
DQ797242.1.1392	1	0.038522	GCA_003481005.1
DQ797246.1.1393	1	0.142317	GCF_018918185.1
DQ797278.1.1400	6	0.173524	GCF_003315195.1
DQ797279.1.1372	1	0.16446	GCF_014982805.1
DQ797281.1.1284	2	0.124694	GCF_003438075.1
DQ797282.1.1391	5	0.106172	GCA_000020605.1
DQ797286.1.1370	1	0.032405	GCF_003287495.1
DQ797290.1.1385	1	0.140859	GCF_900086725.1
DQ797315.1.1283	1	0.267899	GCF_018784445.1
DQ797317.1.1279	1	0.096139	GCF_023347235.1
DQ797320.1.1401	1	0.109182	GCF_000382445.1
DQ797323.1.1281	1	0.046923	GCF_010509575.1
DQ797326.1.1395	2	0.054911	GCF_002834225.1
DQ797330.1.1351	1	0.126428	GCF_019734885.1
DQ797337.1.1281	4	0.107182	GCF_000723465.1
DQ797340.1.1394	1	0.022397	GCF_003481705.1
DQ797350.1.1248	2	0.183276	GCF_003438075.1
DQ797351.1.1288	1	0.097999	GCF_015557635.1
DQ797356.1.1317	1	0.016153	GCF_010509575.1
DQ797368.1.1371	1	0.127551	GCF_002161065.1
DQ797369.1.1386	1	0.032593	GCF_900209925.1
DQ797370.1.1395	1	0.059565	GCA_003460745.1
DQ797375.1.1387	1	0.080567	GCF_000173975.1
DQ797382.1.1393	1	0.127551	GCF_002161065.1
DQ797385.1.1390	1	0.112679	GCF_003287495.1
DQ797400.1.1286	1	0.11516	GCA_020859985.1
DQ797411.1.1293	1	0.031687	GCA_916988195.3
DQ797418.1.1287	1	0.197689	GCF_010509575.1
DQ797427.1.1369	1	0.057725	GCA_900540345.1
DQ797431.1.1391	1	0.062777	GCA_910574895.1
DQ797442.1.1288	1	0.11516	GCA_020859985.1
DQ797445.1.1384	1	0.11516	GCA_020859985.1
DQ797448.1.1396	1	0.107688	GCF_015557635.1
DQ797460.1.1391	3	0.142093	GCA_017569285.1
DQ797462.1.1393	1	0.127551	GCF_002161065.1
DQ797473.1.1377	1	0.122439	GCF_003287455.1
DQ797489.1.1290	1	0.087587	GCF_018784445.1
DQ797497.1.1295	1	0.096405	GCA_002841545.1
DQ797498.1.1284	1	0.038421	GCF_018784445.1
DQ797500.1.1378	1	0.13365	GCA_021770095.1
DQ797503.1.1388	1	0.059357	GCA_025150245.1
DQ797512.1.1391	1	0.106696	GCF_003461245.1
DQ797516.1.1343	1	0.149004	GCA_022867625.1
DQ797525.1.1389	1	0.133318	GCF_013304385.1
DQ797544.1.1383	1	0.20171	GCA_025152405.1
DQ797549.1.1395	1	0.093547	GCF_900103815.1
DQ797561.1.1387	2	0.113831	GCF_002834225.1
DQ797566.1.1400	1	0.10264	GCF_000235505.1
DQ797568.1.1284	1	0.147749	GCF_002160895.1
DQ797570.1.1393	1	0.066607	GCF_000173975.1
DQ797586.1.1394	1	0.106527	GCF_009680455.1
DQ797587.1.1383	1	0.139559	GCF_003024715.1
DQ797594.1.1290	1	0.113844	GCF_015557635.1
DQ797605.1.1399	1	0.020533	GCA_025147485.1
DQ797617.1.1373	1	0.069307	GCF_003287495.1
DQ797629.1.1393	1	0.046875	GCF_000146185.1
DQ797636.1.1248	7	0.106141	GCF_000012825.1
DQ797639.1.1382	3	0.127043	GCA_900769075.1
DQ797651.1.1383	1	0.106707	GCF_003324185.1
DQ797654.1.1350	1	0.01791	GCF_000236865.1
DQ797658.1.1393	7	0.106141	GCF_000012825.1
DQ797670.1.1388	1	0.187194	GCF_000173975.1
DQ797674.1.1391	1	0.121195	GCA_015067305.1
DQ797685.1.1380	1	0.106707	GCF_003324185.1
DQ797686.1.1371	1	0.025761	GCF_023347235.1
DQ797689.1.1370	1	0.066582	GCF_003287495.1
DQ797718.1.1365	1	0.10749	GCF_000236865.1
DQ797728.1.1293	1	0.068581	GCA_002841545.1
DQ797732.1.1376	1	0.106147	GCF_018784445.1
DQ797736.1.1285	1	0.018678	GCF_900095865.1
DQ797748.1.1280	1	0.071249	GCF_023347235.1
DQ797752.1.1372	1	0.147749	GCF_002160895.1
DQ797758.1.1378	3	0.161012	GCA_018128945.1
DQ797766.1.1289	5	0.106172	GCA_000020605.1
DQ797781.1.1401	2	0.107151	GCF_000012845.1
DQ797787.1.1389	1	0.118042	GCF_003287455.1
DQ797791.1.1354	1	0.036702	GCF_000765235.1
DQ797792.1.1409	1	0.090555	GCF_001813295.1
DQ797793.1.1386	1	0.111432	GCF_003201875.1
DQ797794.1.1393	1	0.04303	GCF_000173975.1
DQ797801.1.1335	4	0.051615	GCF_000296465.1
DQ797802.1.1388	1	0.061561	GCF_000173975.1
DQ797807.1.1365	1	0.132839	GCF_003478335.1
DQ797816.1.1296	1	0.07908	GCA_000752215.1
DQ797817.1.1284	1	0.243541	GCF_003475325.1
DQ797819.1.1407	1	0.108176	GCF_900116045.1
DQ797835.1.1289	5	0.106172	GCA_000020605.1
DQ797836.1.1210	1	0.090571	GCF_002160895.1
DQ797837.1.1372	3	0.188232	GCF_018847375.1
DQ797840.1.1389	1	0.106718	GCF_014297285.1
DQ797853.1.1395	2	0.18058	GCA_025145845.1
DQ797854.1.1389	1	0.11516	GCA_020859985.1
DQ797855.1.1394	1	0.109646	GCF_001404655.1
DQ797869.1.1392	1	0.075385	GCF_009680455.1
DQ797871.1.1343	1	0.024434	GCF_003287495.1
DQ797874.1.1300	1	0.11516	GCA_020859985.1
DQ797877.1.1375	1	0.021855	GCF_020687245.1
DQ797891.1.1390	1	0.099187	GCA_934309345.1
DQ797892.1.1372	1	0.107015	GCA_900760325.1
DQ797896.1.1306	1	0.109182	GCF_000382445.1
DQ797899.1.1288	2	0.072758	GCF_002834235.1
DQ797903.1.1289	1	0.11516	GCA_020859985.1
DQ797904.1.1386	2	0.113831	GCF_002834225.1
DQ797910.1.1389	1	0.031851	GCF_003435815.1
DQ797921.1.1398	3	0.121634	GCA_004557655.1
DQ797926.1.1408	1	0.176177	GCF_010120595.1
DQ797928.1.1290	1	0.142668	GCF_003612565.1
DQ797931.1.1369	1	0.03234	GCF_010509575.1
DQ797933.1.1286	2	0.113831	GCF_002834225.1
DQ797939.1.1392	1	0.08602	GCA_025148125.1
DQ797941.1.1368	1	0.069957	GCF_000468015.1
DQ797945.1.1289	1	0.111034	GCF_013304735.1
DQ797947.1.1388	1	0.072015	GCF_000173975.1
DQ797948.1.1389	1	0.056229	GCA_000285855.2
DQ797949.1.1398	7	0.106141	GCF_000012825.1
DQ797956.1.1394	2	0.113831	GCF_002834225.1
DQ797970.1.1392	1	0.097681	GCA_934309345.1
DQ797971.1.1389	1	0.170912	GCA_900115795.1
DQ797980.1.1388	1	0.116167	GCA_016899975.1
DQ797992.1.1379	1	0.11516	GCA_020859985.1
DQ798000.1.1401	5	0.10654	GCF_009193295.2
DQ798003.1.1280	1	0.100151	GCF_010509575.1
DQ798004.1.1393	2	0.148853	GCF_002834225.1
DQ798005.1.1288	1	0.356596	GCF_001487165.1
DQ798006.1.1375	1	0.120259	GCF_003287405.1
DQ798009.1.1371	1	0.159327	GCF_002160895.1
DQ798020.1.1303	1	0.176359	GCA_900120415.1
DQ798023.1.1290	1	0.11516	GCA_020859985.1
DQ798024.1.1383	1	0.11516	GCA_020859985.1
DQ798027.1.1389	1	0.106696	GCF_003461245.1
DQ798033.1.1389	1	0.081101	GCF_000173975.1
DQ798034.1.1377	1	0.124897	GCA_902765005.1
DQ798036.1.1392	1	0.11516	GCA_020859985.1
DQ798038.1.1408	1	0.112161	GCF_010120595.1
DQ798046.1.1386	2	0.113831	GCF_002834225.1
DQ798064.1.1372	6	0.128987	GCF_023347535.1
DQ798067.1.1286	1	0.19208	GCF_014297355.1
DQ798072.1.1373	1	0.087237	GCF_003287455.1
DQ798075.1.1375	1	0.192572	GCF_003287455.1
DQ798089.1.1286	1	0.107986	GCF_000468015.1
DQ798111.1.1398	2	0.113507	GCF_006542665.1
DQ798112.1.1390	1	0.179158	GCF_001487165.1
DQ798115.1.1285	1	0.172606	GCF_023347275.1
DQ798123.1.1397	1	0.110436	GCA_025147325.1
DQ798129.1.1389	1	0.027047	GCF_000173975.1
DQ798145.1.1288	1	0.108353	GCF_000173975.1
DQ798147.1.1284	1	0.162111	GCF_020687245.1
DQ798156.1.1398	5	0.076516	GCF_000156195.1
DQ798163.1.1375	1	0.131611	GCF_018784445.1
DQ798171.1.1398	5	0.083734	GCF_009193325.2
DQ798174.1.1380	1	0.124897	GCA_902765005.1
DQ798181.1.1398	5	0.111284	GCF_002222615.2
DQ798183.1.1371	1	0.027876	GCF_018784445.1
DQ798186.1.1393	1	0.113063	GCF_003460605.1
DQ798188.1.1284	1	0.11516	GCA_020859985.1
DQ798204.1.1286	1	0.128779	GCF_015557635.1
DQ798214.1.1370	1	0.038179	GCF_003287495.1
DQ798217.1.1224	1	0.107257	GCF_015557635.1
DQ798227.1.1392	1	0.029236	GCF_009696065.1
DQ798232.1.1358	1	0.069874	GCA_934309345.1
DQ798235.1.1390	1	0.117207	GCF_021531995.1
DQ798236.1.1368	1	0.051154	GCF_015670795.1
DQ798256.1.1391	1	0.136863	GCF_013300725.1
DQ798267.1.1392	1	0.109646	GCF_001404655.1
DQ798276.1.1386	1	0.111644	GCF_018784445.1
DQ798280.1.1322	1	0.108176	GCF_900116045.1
DQ798288.1.1389	2	0.112009	GCF_023347255.1
DQ798295.1.1357	1	0.07223	GCF_003024675.1
DQ798303.1.1388	1	0.061798	GCF_000173975.1
DQ798314.1.1391	1	0.108282	GCF_001406815.1
DQ798316.1.1290	1	0.108353	GCF_000173975.1
DQ798321.1.1373	1	0.027494	GCF_018784445.1
DQ798328.1.1392	1	0.109646	GCF_001404655.1
DQ798336.1.1390	1	0.101153	GCA_025152405.1
DQ798359.1.1394	2	0.079505	GCA_025145285.1
DQ798367.1.1405	2	0.053177	GCF_000981035.1
DQ798376.1.1390	1	0.078477	GCA_934309345.1
DQ798387.1.1372	1	0.107032	GCA_900542275.1
DQ798390.1.1382	1	0.020836	GCF_020687245.1
DQ798405.1.1359	1	0.054316	GCF_000173975.1
DQ798456.1.1292	1	0.107032	GCA_900542275.1
DQ798457.1.1383	1	0.136863	GCF_013300725.1
DQ798458.1.1374	1	0.162987	GCF_018784445.1
DQ798487.1.1332	5	0.106172	GCA_000020605.1
DQ798492.1.1377	1	0.108353	GCF_000173975.1
DQ798495.1.1366	1	0.045954	GCA_902363875.1
DQ798503.1.1385	1	0.065385	GCF_018784445.1
DQ798522.1.1396	1	0.06903	GCF_900104635.1
DQ798526.1.1395	5	0.106172	GCA_000020605.1
DQ798530.1.1384	6	0.036947	GCF_023347535.1
DQ798544.1.1272	3	0.194033	GCA_018228685.1
DQ798568.1.1385	1	0.107257	GCF_015557635.1
DQ798603.1.1202	1	0.026427	GCF_003473545.1
DQ798619.1.1393	1	0.046519	GCF_019042275.1
DQ798657.1.1376	1	0.107257	GCF_015557635.1
DQ798663.1.1360	1	0.033507	GCF_010509575.1
DQ798665.1.1371	1	0.021552	GCF_010509575.1
DQ798672.1.1362	1	0.193236	GCF_020537505.1
DQ798681.1.1382	1	0.135498	GCF_900104635.1
DQ798690.1.1366	1	0.048854	GCA_902363875.1
DQ798691.1.1298	1	0.033179	GCF_010509575.1
DQ798708.1.1399	1	0.027029	GCF_016901605.1
DQ798724.1.1390	1	0.07978	GCF_001487165.1
DQ798748.1.1256	1	0.030764	GCF_000313565.1
DQ798757.1.1402	1	0.124533	GCF_000025985.1
DQ798758.1.1392	1	0.107904	GCA_025148125.1
DQ798766.1.1389	1	0.073443	GCF_001517625.2
DQ798778.1.1422	1	0.167428	GCF_000160055.1
DQ798781.1.1394	1	0.120494	GCA_902363045.1
DQ798786.1.1379	1	0.208197	GCA_025148125.1
DQ798788.1.1318	1	0.034151	GCA_025148125.1
DQ798794.1.1390	1	0.177649	GCF_003363435.1
DQ798853.1.1389	1	0.05708	GCA_000285855.2
DQ798855.1.1391	5	0.106645	GCF_014334015.1
DQ798869.1.1391	1	0.039148	GCF_003024715.1
DQ798887.1.1372	1	0.104727	GCF_900104615.1
DQ798893.1.1395	1	0.029946	GCA_003460745.1
DQ798900.1.1379	1	0.053543	GCF_018784445.1
DQ798901.1.1391	1	0.053672	GCF_009695765.1
DQ798907.1.1388	1	0.052284	GCF_005845215.1
DQ798910.1.1390	1	0.141685	GCF_003287455.1
DQ798921.1.1264	1	0.06347	GCA_025148125.1
DQ798923.1.1287	1	0.177649	GCF_003363435.1
DQ798938.1.1392	1	0.094688	GCA_025148125.1
